dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,31,490,dog:368,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5116090946560907,0.5071307919376582,0.5159259724401247
dog,7/10,31,490,dog:368,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.3947458983769564,0.3920000901203652,0.3971868818536422
dog,7/10,31,490,dog:368,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.11686319627913438,0.113110702525274,0.12043110718648023
dog,7/10,31,490,dog:368,no_eg,No-EG,mean_reputation_honest,20,0.2692700329118667,0.26280030679960464,0.27608090499655413
dog,7/10,31,490,dog:368,no_eg,No-EG,mean_reputation_malicious,20,0.5757103694666519,0.57153088767995,0.580129303199534
dog,7/10,31,490,dog:368,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.30644033655478514,-0.3163269467271874,-0.29649543312468263
dog,7/10,32,498,dog:360,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.515295302434712,0.5102610997986852,0.5199735668422751
dog,7/10,32,498,dog:360,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.3916834919131195,0.38897627423295617,0.394144283463474
dog,7/10,32,498,dog:360,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.12361181052159252,0.11948026432874688,0.1274952873350307
dog,7/10,32,498,dog:360,no_eg,No-EG,mean_reputation_honest,20,0.2725073508249731,0.26604515581160854,0.2795769078993032
dog,7/10,32,498,dog:360,no_eg,No-EG,mean_reputation_malicious,20,0.5662194448886786,0.5621983149702066,0.5703251968165458
